lag_min,lag_max,baseline_n_tokens,baseline_mean,baseline_sd,nominal_healthy_false_alerts,healthy_run_count,zero_observed_alert_h,run_id,seed,lexical_onset,representational_onset_h5,representational_onset_zero_alert_h,calibrated_minus_lexical,published_30gram_20repeat_fired
4,32,1509,0.5767157077789307,0.18755297362804413,5,12,18,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,74,93,56,False
4,32,1509,0.5767157077789307,0.18755297362804413,5,12,18,impossible_repeated_rejection-s1-e2aa827fec81,1,549,736,779,230,False
4,64,1509,0.6007148027420044,0.1832720935344696,3,12,17,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,74,93,56,False
4,64,1509,0.6007148027420044,0.1832720935344696,3,12,17,impossible_repeated_rejection-s1-e2aa827fec81,1,549,737,785,236,False
4,96,1509,0.6036851406097412,0.18259364366531372,3,12,17,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,74,93,56,False
4,96,1509,0.6036851406097412,0.18259364366531372,3,12,17,impossible_repeated_rejection-s1-e2aa827fec81,1,549,727,779,230,False
8,32,1461,0.5388228893280029,0.19505085051059723,4,12,21,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,35,94,57,False
8,32,1461,0.5388228893280029,0.19505085051059723,4,12,21,impossible_repeated_rejection-s1-e2aa827fec81,1,549,735,774,225,False
8,64,1461,0.57004314661026,0.19347375631332397,4,12,19,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,73,94,57,False
8,64,1461,0.57004314661026,0.19347375631332397,4,12,19,impossible_repeated_rejection-s1-e2aa827fec81,1,549,137,781,232,False
8,96,1461,0.5737307667732239,0.19299563765525818,4,12,19,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,73,94,57,False
8,96,1461,0.5737307667732239,0.19299563765525818,4,12,19,impossible_repeated_rejection-s1-e2aa827fec81,1,549,725,777,228,False
12,32,1413,0.513342559337616,0.19203554093837738,5,12,23,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,34,85,48,False
12,32,1413,0.513342559337616,0.19203554093837738,5,12,23,impossible_repeated_rejection-s1-e2aa827fec81,1,549,518,770,221,False
12,64,1413,0.5518803000450134,0.1917160153388977,4,12,21,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,71,92,55,False
12,64,1413,0.5518803000450134,0.1917160153388977,4,12,21,impossible_repeated_rejection-s1-e2aa827fec81,1,549,118,779,230,False
12,96,1413,0.5567084550857544,0.19115938246250153,4,12,21,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,71,93,56,False
12,96,1413,0.5567084550857544,0.19115938246250153,4,12,21,impossible_repeated_rejection-s1-e2aa827fec81,1,549,118,774,225,False
16,32,1365,0.48994678258895874,0.19529283046722412,5,12,23,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,34,81,44,False
16,32,1365,0.48994678258895874,0.19529283046722412,5,12,23,impossible_repeated_rejection-s1-e2aa827fec81,1,549,517,773,224,False
16,64,1365,0.5369877219200134,0.1962561011314392,4,12,20,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,69,87,50,False
16,64,1365,0.5369877219200134,0.1962561011314392,4,12,20,impossible_repeated_rejection-s1-e2aa827fec81,1,549,117,781,232,False
16,96,1365,0.543003499507904,0.19582751393318176,4,12,19,impossible_repeated_rejection-s0-54f7eb7f3f7c,0,37,71,87,50,False
16,96,1365,0.543003499507904,0.19582751393318176,4,12,19,impossible_repeated_rejection-s1-e2aa827fec81,1,549,117,771,222,False
